stock_id,direction,entry_date,entry_price,shares,exit_date,exit_price,pnl_dollar_gross,exit_reason
1442,long,1992-05-11,26.6,3000,1992-07-02,24.5,-6300.000000000005,StopLoss
2014,long,1992-06-24,36.5,1000,1992-07-07,32.1,-4399.999999999998,StopLoss
1310,long,1992-06-24,29.0,2000,1992-07-17,26.4,-5200.000000000003,StopLoss
2014,long,1992-07-07,32.1,1000,1992-07-21,30.7,-1400.000000000002,StopLoss
2312,long,1992-07-13,35.5,1000,1992-07-21,32.8,-2700.0000000000027,StopLoss
2906,long,1992-07-14,35.4,1000,1992-07-23,33.5,-1899.9999999999986,StopLoss
1718,long,1992-07-07,24.3,3000,1992-07-24,23.0,-3900.0000000000023,StopLoss
1307,long,1992-07-23,38.8,1000,1992-08-10,34.9,-3899.9999999999986,StopLoss
1702,long,1992-07-23,35.1,1000,1992-08-11,32.0,-3100.0000000000014,StopLoss
2324,long,1992-07-23,40.2,1000,1992-08-11,34.5,-5700.000000000003,StopLoss
1414,long,1992-07-23,31.3,1000,1992-08-12,27.9,-3400.0000000000023,StopLoss
1440,long,1992-07-27,27.0,3000,1992-08-14,25.1,-5699.999999999995,StopLoss
2009,long,1992-07-23,36.1,1000,1992-08-17,32.8,-3300.000000000004,StopLoss
2104,long,1992-07-23,40.6,1000,1992-08-17,37.7,-2899.9999999999986,StopLoss
2312,long,1992-07-23,32.0,1000,1992-08-17,28.6,-3399.9999999999986,StopLoss
1432,long,1992-07-28,32.0,1000,1992-08-17,27.5,-4500.0,StopLoss
1604,long,1992-08-14,24.4,3000,1992-08-17,22.6,-5399.999999999992,StopLoss
1436,long,1992-08-12,18.8,5000,1992-08-18,17.2,-8000.000000000007,StopLoss
1308,long,1992-07-08,32.5,2000,1992-08-19,30.0,-5000.0,StopLoss
1416,long,1992-08-12,29.1,1000,1992-08-19,26.0,-3100.0000000000014,StopLoss
2106,long,1992-08-12,38.0,1000,1992-08-20,36.0,-2000.0,StopLoss
1414,long,1992-08-17,25.5,2000,1992-08-20,24.0,-3000.0,StopLoss
2014,long,1992-07-23,29.8,1000,1992-08-26,26.3,-3500.0,StopLoss
2316,long,1992-05-08,36.7,1000,1992-09-03,30.9,-5800.000000000005,StopLoss
2301,long,1992-07-20,25.8,3000,1992-09-03,23.7,-6300.000000000005,StopLoss
1310,long,1992-08-20,23.5,3000,1992-09-03,22.0,-4500.0,StopLoss
1436,long,1992-08-18,17.2,5000,1992-09-07,15.0,-10999.999999999996,StopLoss
2014,long,1992-09-03,24.0,2000,1992-09-08,21.0,-6000.0,StopLoss
1416,long,1992-08-19,26.0,2000,1992-09-14,23.1,-5799.999999999997,StopLoss
1218,long,1992-07-27,38.3,1000,1992-09-15,34.4,-3899.9999999999986,StopLoss
1432,long,1992-08-17,27.5,2000,1992-09-15,25.5,-4000.0,StopLoss
